,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
30,09:00 - 10:00,126.87,0.23,126.64,126.99,126.61,6702.0,N.A.
31,10:00 - 11:00,126.77,-0.1,126.87,127.13,126.64,7668.0,N.A.
32,11:00 - 12:00,127.09,0.32,126.76,127.22,126.67,7991.0,N.A.
33,12:00 - 13:00,126.9,-0.19,127.09,127.33,126.85,7878.0,N.A.
34,13:00 - 14:00,127.34,0.44,126.9,127.46,126.69,8152.0,N.A.
35,14:00 - 15:00,127.74,0.4,127.34,127.93,127.28,7821.0,N.A.
36,15:00 - 16:00,127.83,0.09,127.74,127.88,127.57,7737.0,N.A.
37,16:00 - 17:00,127.76,-0.07,127.83,128.03,127.63,10455.0,N.A.
39,14:00 - 15:00,127.84,0.08,127.77,127.97,127.74,392.0,N.A.
40,15:00 - 16:00,128.02,0.18,127.84,128.11,127.84,1067.0,N.A.
41,16:00 - 17:00,127.86,-0.16,128.01,128.17,127.71,4113.0,N.A.
42,17:00 - 18:00,127.94,0.08,127.86,128.05,127.64,7385.0,N.A.
43,18:00 - 19:00,128.53,0.59,127.94,128.55,127.94,9567.0,N.A.
44,19:00 - 20:00,128.42,-0.11,128.53,128.54,128.13,11401.0,N.A.
45,20:00 - 21:00,128.19,-0.23,128.42,128.44,128.1,10625.0,N.A.
46,21:00 - 22:00,127.47,-0.72,128.19,128.22,127.41,10842.0,N.A.
47,22:00 - 23:00,127.68,0.21,127.47,127.73,127.37,10105.0,N.A.
48,23:00 - 00:00,127.77,0.09,127.68,127.92,127.57,10911.0,N.A.
50,00:00 - 01:00,127.83,0.06,127.77,127.85,127.64,10993.0,N.A.
51,01:00 - 02:00,128.08,0.25,127.83,128.13,127.75,10069.0,N.A.
52,02:00 - 03:00,128.17,0.09,128.08,128.2,127.73,6783.0,N.A.
53,03:00 - 04:00,127.12,-1.05,128.18,128.2,126.59,5658.0,N.A.
54,04:00 - 05:00,127.17,0.05,127.12,127.7,127.07,6771.0,N.A.
55,05:00 - 06:00,127.4,0.23,127.17,127.5,127.14,6920.0,N.A.
56,06:00 - 07:00,127.32,-0.08,127.4,127.57,127.13,7347.0,N.A.
57,07:00 - 08:00,126.85,-0.47,127.31,127.37,126.82,6627.0,N.A.
58,08:00 - 09:00,126.44,-0.41,126.85,126.93,126.4,6723.0,N.A.
59,09:00 - 10:00,126.65,0.21,126.44,126.88,126.42,6388.0,N.A.
60,10:00 - 11:00,126.89,0.24,126.65,126.97,126.46,8023.0,N.A.
61,11:00 - 12:00,126.55,-0.34,126.89,126.96,126.5,7657.0,N.A.
62,12:00 - 13:00,126.68,0.13,126.55,126.96,126.52,8849.0,N.A.
63,13:00 - 14:00,126.88,0.2,126.68,126.9,126.64,9451.0,N.A.
64,14:00 - 15:00,126.73,-0.15,126.88,127.11,126.72,9499.0,N.A.
65,15:00 - 16:00,126.65,-0.08,126.74,126.81,126.53,9890.0,N.A.
66,16:00 - 17:00,127.31,0.66,126.65,127.38,126.65,8165.0,N.A.
67,17:00 - 18:00,127.03,-0.28,127.35,127.39,126.87,8889.0,N.A.
68,18:00 - 19:00,127.15,0.12,127.04,127.3,126.96,9406.0,N.A.
69,19:00 - 20:00,126.61,-0.54,127.14,127.14,126.47,11161.0,N.A.
